Reference;E-Switch;Part #;Value;Footprint;Remark
R1;generic 1%;;200k 1%;0805 (2012 metric);Please choose manufacturer freely
R2, R3, R4, R16, R27, R32, R36;generic 1%;;10k 1%;0805 (2012 metric);Please choose manufacturer freely
R9,R22;generic 1%;;27R 1%;0402 (1005 metric);Please choose manufacturer freely
R33;generic 1%;;120k 1%;0805 (2012 metric);Please choose manufacturer freely
R34;generic 1%;;27k 1%;0805 (2012 metric);Please choose manufacturer freely
R10,R11,R13,R14,R15,R23,R25,R29,R30;generic 5%;;10k;0805 (2012 metric);Please choose manufacturer freely
R31;generic 5%;;10k;0402 (1005 metric);Please choose manufacturer freely
R5,R6,R28;generic 5%;;100k;0805 (2012 metric);Please choose manufacturer freely
R7;generic 5%;;33R;0402 (1005 metric);Please choose manufacturer freely
R8;generic 5%;;1k;0402 (1005 metric);Please choose manufacturer freely
R12;generic 5%;;330;0805 (2012 metric);Please choose manufacturer freely
R17;generic 5%;;100M;0805 (2012 metric);Please choose manufacturer freely
R18;generic 5%;;1.65k;0805 (2012 metric);Please choose manufacturer freely
R19;generic 5%;;20k;0805 (2012 metric);Please choose manufacturer freely
R20,R26;generic 5%;;5.1k;0805 (2012 metric);Please choose manufacturer freely
R21,R24;generic 5%;;30k;0805 (2012 metric);Please choose manufacturer freely
C1;generic 10%;;4.7 uF;0805 (2012 metric);Please choose manufacturer freely
C9, C14, C16, C17;generic 10%;;4.7 uF;0402 (1005 metric);Please choose manufacturer freely
C2, C7, C11, C34;generic 10%;;10 uF;0805 (2012 metric);Please choose manufacturer freely
C3,C25;generic 10%;;100 nF;0805 (2012 metric);Please choose manufacturer freely
C5;generic 10%;;6.8 pF / 50 V;0805 (2012 metric);Please choose manufacturer freely
C26, C33;generic 10%;;10 uF;1206 (3216 metric);Please choose manufacturer freely
C12, C13;generic 10%;;15 pF;0402 (1005 metric);Please choose manufacturer freely
C15,C18,C19,C20,C21,C22,C23,C27,C28,C29,C30,C31,C32;generic 10%;;100 nF;0402 (1005 metric);Please choose manufacturer freely
C24;generic 10%;;1 uF;0805 (2012 metric);Please choose manufacturer freely
D1, D3, D4;onsemi;MBR120VLSFT1G;;SOD-123F;Please choose manufacturer freely
D2;generic;SCHOTTKY DIODE SS24 2A 40V SMA SR240 DO-214AC;;1206 (3216 metric);Please choose manufacturer freely
L2;ABRACON;AOTA-B201610S3R3-101-T ;3.3uH;;Rpi inductance for internal voltage regulator
L3;Coilcraft;XFL4020-222MEC ;2.2uH 35mOhm;;May be replaced with compatible part, Main voltage regulator inductance
L4;Taiyo Yuden;NRS5030T3R3MMGJ;3.3 uH;;May be replaced with compatible part, Backlight boost inductance
Q1;Diodes Incorporated;DMG2305UX;DMG2305UX;SOT-23;
Q2;AOSMD;AO3401;AO3401;SOT-23-3;
Q3,U6;AOSMD;AO3402;AO3402;SOT-23-3;
Q4;onsemi;FDN340P;FDN340P;SOT-23;
U2;SHOUDING;SDB628;;;Backlight booster switcher
U3;ChipSource Tek;NS4168;;;audio amp/codec
U5;TI;TLV62569PDDCR;;;Main voltage regulator switcher
U8;UTD Semiconductor;TP4054;;;Lipo charger
U9;Raspberry Pi Ltd.;RP2350B;;;
U11;Winbond;W25Q128JVS;;;Flash memory
U12;AP Memory;APS6404L-3SQR;;;PSRAM
Y1;ABRACON;ABM8-272-T3;;;Crystal
J1;Amphenol Aorora;F305-1A7H1-11040-E100;;;May be replaced with compatible part, LCD connector
J2;Korean Hroparts Elec;TF-01A;;;May be replaced with compatible part, SD card holder
J3;DNF;DNF;DNF;DNF;Do not populate
J4;G-Switch;GT-USB-7010ASV;;;May be replaced with compatible part, USB port
J5;SHOU HAN;PJ-242;;;May be replaced with compatible part, audio jack
J7;JUSHUO;AFC07-S05ECC-00;;;May be replaced with compatible part, 0.5mm pitch, top contact
SW9;E-Switch;TL3330AF260QG;;;May be replaced with compatible part, reset switch
SW10;E-Switch;TL3342F260QG;;;May be replaced with compatible part, start button
SW11;E-Switch;TL3342F260QG;;;May be replaced with compatible part, select button
